,Error Consistency,Misclassification Agreement,Class-Level Similarity,CKA,Smilarity of Confidence,Similarity of Confidence (Errors Only)
Error Consistency,1.0,0.5098,0.6511,0.488,0.6049,0.5832
Misclassification Agreement,0.5098,1.0,0.8988,0.7334,0.8486,0.9097
Class-Level Similarity,0.6511,0.8988,1.0,0.8734,0.9601,0.9248
CKA,0.488,0.7334,0.8734,1.0,0.905,0.7901
Smilarity of Confidence,0.6049,0.8486,0.9601,0.905,1.0,0.9463
Similarity of Confidence (Errors Only),0.5832,0.9097,0.9248,0.7901,0.9463,1.0
