,Error Consistency,Misclassification Agreement,Class-Level Similarity,CKA,Smilarity of Confidence,Similarity of Confidence (Errors Only)
Error Consistency,1.0,0.5458,0.3843,0.6969,0.7178,0.4602
Misclassification Agreement,0.5458,1.0,0.8051,0.6708,0.5866,0.4976
Class-Level Similarity,0.3843,0.8051,1.0,0.3965,0.5201,0.5511
CKA,0.6969,0.6708,0.3965,1.0,0.6865,0.4873
Smilarity of Confidence,0.7178,0.5866,0.5201,0.6865,1.0,0.9026
Similarity of Confidence (Errors Only),0.4602,0.4976,0.5511,0.4873,0.9026,1.0
