,Error Consistency,Misclassification Agreement,Class-Level Similarity,CKA,Smilarity of Confidence,Similarity of Confidence (Errors Only)
Error Consistency,1.0,0.5655,0.6747,0.6799,0.7254,0.4965
Misclassification Agreement,0.5655,1.0,0.7508,0.7629,0.6993,0.6841
Class-Level Similarity,0.6747,0.7508,1.0,0.6965,0.6838,0.6796
CKA,0.6799,0.7629,0.6965,1.0,0.795,0.75
Smilarity of Confidence,0.7254,0.6993,0.6838,0.795,1.0,0.8856
Similarity of Confidence (Errors Only),0.4965,0.6841,0.6796,0.75,0.8856,1.0
