,Error Consistency,Misclassification Agreement,Class-Level Similarity,CKA,Smilarity of Confidence,Similarity of Confidence (Errors Only)
Error Consistency,1.0,0.3625,0.5016,0.6364,0.5947,0.1924
Misclassification Agreement,0.3625,1.0,0.4491,0.5306,0.3675,0.5857
Class-Level Similarity,0.5016,0.4491,1.0,0.4366,0.7862,0.3651
CKA,0.6364,0.5306,0.4366,1.0,0.6378,0.6224
Smilarity of Confidence,0.5947,0.3675,0.7862,0.6378,1.0,0.5343
Similarity of Confidence (Errors Only),0.1924,0.5857,0.3651,0.6224,0.5343,1.0
