,Error Consistency,Misclassification Agreement,Class-Level Similarity,CKA,Smilarity of Confidence,Similarity of Confidence (Errors Only)
Error Consistency,1.0,0.502,0.4797,0.5427,0.8255,0.5431
Misclassification Agreement,0.502,1.0,0.8196,0.8742,0.6392,0.6995
Class-Level Similarity,0.4797,0.8196,1.0,0.7449,0.5887,0.6376
CKA,0.5427,0.8742,0.7449,1.0,0.6795,0.6997
Smilarity of Confidence,0.8255,0.6392,0.5887,0.6795,1.0,0.8639
Similarity of Confidence (Errors Only),0.5431,0.6995,0.6376,0.6997,0.8639,1.0
